primaryKey,teamId,teamName,teamAbbreviation,teamCity,season
0_2018-19,0,League,League,League,2018-19
1610612737_2018-19,1610612737,Hawks,ATL,Atlanta,2018-19
1610612738_2018-19,1610612738,Celtics,BOS,Boston,2018-19
1610612739_2018-19,1610612739,Cavaliers,CLE,Cleveland,2018-19
1610612740_2018-19,1610612740,Pelicans,NOP,"New Orleans",2018-19
1610612741_2018-19,1610612741,Bulls,CHI,Chicago,2018-19
1610612742_2018-19,1610612742,Mavericks,DAL,Dallas,2018-19
1610612743_2018-19,1610612743,Nuggets,DEN,Denver,2018-19
1610612744_2018-19,1610612744,Warriors,GSW,"Golden State",2018-19
1610612745_2018-19,1610612745,Rockets,HOU,Houston,2018-19
1610612746_2018-19,1610612746,Clippers,LAC,LA,2018-19
1610612747_2018-19,1610612747,Lakers,LAL,"Los Angeles",2018-19
1610612748_2018-19,1610612748,Heat,MIA,Miami,2018-19
1610612749_2018-19,1610612749,Bucks,MIL,Milwaukee,2018-19
1610612750_2018-19,1610612750,Timberwolves,MIN,Minnesota,2018-19
1610612751_2018-19,1610612751,Nets,BKN,Brooklyn,2018-19
1610612752_2018-19,1610612752,Knicks,NYK,"New York",2018-19
1610612753_2018-19,1610612753,Magic,ORL,Orlando,2018-19
1610612754_2018-19,1610612754,Pacers,IND,Indiana,2018-19
1610612755_2018-19,1610612755,76ers,PHI,Philadelphia,2018-19
1610612756_2018-19,1610612756,Suns,PHX,Phoenix,2018-19
1610612757_2018-19,1610612757,"Trail Blazers",POR,Portland,2018-19
1610612758_2018-19,1610612758,Kings,SAC,Sacramento,2018-19
1610612759_2018-19,1610612759,Spurs,SAS,"San Antonio",2018-19
1610612760_2018-19,1610612760,Thunder,OKC,"Oklahoma City",2018-19
1610612761_2018-19,1610612761,Raptors,TOR,Toronto,2018-19
1610612762_2018-19,1610612762,Jazz,UTA,Utah,2018-19
1610612763_2018-19,1610612763,Grizzlies,MEM,Memphis,2018-19
1610612764_2018-19,1610612764,Wizards,WAS,Washington,2018-19
1610612765_2018-19,1610612765,Pistons,DET,Detroit,2018-19
1610612766_2018-19,1610612766,Hornets,CHA,Charlotte,2018-19
